total_usage,low_pred
26,14.035833333333334
10,15.189761904761905
23.5,10.326666666666666
2,12.025
3,5.89
0,-2.930988785010413e-15
0,-3.197442310920451e-15
13,2.8159798534798535
4,2.252953339809988
0,5.814372294372294
0,5.814372294372294
1,5.814372294372294
0,-3.197442310920451e-15
4,1.0528174603174607
0,1.0528174603174607
2,1.0528174603174607
1,1.0528174603174607
2,0.4132905982905992
1,0.4132905982905992
0,0.4132905982905992
0,0.9997763347763357
1,0.9997763347763357
19,11.396666666666665
2,11.396666666666665
19,19.634999999999998
18,17.831673881673883
17,19.955206851971557
24,20.984166666666667
27.5,15.568333333333333
10,12.879916413088164
7,12.879916413088164
7.5,7.495793352607501
11,7.495793352607501
12,7.095000000000001
5,5.392083333333334
18.5,7.495793352607501
9,12.879916413088164
8.5,7.495793352607501
15,12.879916413088164
10,7.495793352607501
3,7.495793352607501
3,13.678333333333333
17,10.855714285714287
4,10.053333333333331
22,10.053333333333331
20,10.641265794206692
13,10.641265794206692
6,9.997893535901937
12,10.641265794206692
10,9.997893535901937
1.5,9.997893535901937
16,19.361666666666668
5.5,9.997893535901937
7,10.641265794206692
7,10.641265794206692
27.5,17.313333333333333
16.5,9.997893535901937
17,10.641265794206692
20,9.997893535901937
24,10.641265794206692
24,14.11
24.5,14.11
21,24.556190476190476
25,24.556190476190476
13.5,17.134999999999998
16.5,4.1577777777777785
15,12.092066267066269
12,19.717041905462956
22.5,12.092066267066269
5,19.717041905462956
2.5,12.092066267066269
3.5,12.3875
23,12.092066267066269
4,12.092066267066269
11,19.717041905462956
7,12.092066267066269
1,8.14866109696755
4.5,1.7889285714285716
1,6.71342712842713
11,6.71342712842713
1,6.116666666666666
0.5,6.71342712842713
10,6.71342712842713
27,6.116666666666666
2,7.348333333333334
8,3.3320833333333333
12,13.808333333333337
1,10.269722222222223
17.5,18.866666666666667
19.5,10.880134514583021
15.5,20.035
23,20.035
22.5,9.541666666666668
7,9.541666666666668
6.5,10.664007936507936
13,16.7599828794394
17,10.664007936507936
15.5,10.664007936507936
28,16.7599828794394
17,16.7599828794394
20.5,9.498888888888889
16,11.755195063227422
1,9.141739028944912
1.5,7.599695493590843
27,7.599695493590843
13,10.402508322639543
19,10.402508322639543
13,7.120620946559162
11,7.120620946559162
16,7.120620946559162
4,7.120620946559162
1,10.402508322639543
9,14.468333333333334
5,14.468333333333334
5.5,9.981666666666667
23,14.468333333333334
18,9.703396202923733
11.5,12.092066267066269
15,12.092066267066269
7,9.703396202923733
11,12.092066267066269
4.5,12.092066267066269
22,9.703396202923733
13.5,12.092066267066269
17,9.703396202923733
4,11.171868874933647
14.5,9.997893535901937
16.5,11.578690476190477
5,11.626666666666665
3,11.578690476190477
4.5,11.578690476190477
8,9.997893535901937
5.5,9.366601731601733
8,11.171868874933647
5,11.171868874933647
2.5,9.997893535901937
28,9.997893535901937
4,9.997893535901937
2,9.997893535901937
4,10.880134514583021
16,8.31732052442761
10.5,10.880134514583021
28,10.880134514583021
28.5,13.40013888888889
8,8.31732052442761
24,8.31732052442761
10.5,10.880134514583021
6,8.31732052442761
24,10.402508322639543
5,10.880134514583021
20,10.402508322639543
28,10.402508322639543
15,10.880134514583021
10,10.402508322639543
18.5,10.880134514583021
23,10.880134514583021
12,2.497897499998447
1.5,1.1679637250794745
5,2.497897499998447
2,1.1679637250794745
2,1.1679637250794745
7,2.497897499998447
1,2.497897499998447
0.5,1.1679637250794745
3,2.497897499998447
17,11.98142857142857
5,8.076036967418547
1,2.497897499998447
1,1.1679637250794745
1,2.497897499998447
0,2.497897499998447
1,1.1679637250794745
1,2.497897499998447
0,1.1679637250794745
0,1.1679637250794745
0,1.1679637250794745
0,1.1679637250794745
0,2.497897499998447
0,1.1679637250794745
0,2.497897499998447
0,0.2600000000000005
0,0.2600000000000005
1,4.2625
21,2.8289393939393945
8,4.584999999999999
4,4.584999999999999
9,12.591428571428574
6,5.576666666666666
4,2.3788095238095237
1.5,2.3788095238095237
5,7.271666666666666
2,3.5677253302253304
1,3.5677253302253304
3,3.5677253302253304
8,3.5677253302253304
2.5,1.882133872429041
0.5,1.882133872429041
1,1.882133872429041
2,7.656100397362495
10,7.656100397362495
2.5,1.882133872429041
1.5,1.882133872429041
3,7.656100397362495
3,1.882133872429041
1.5,1.882133872429041
5,7.656100397362495
10,7.656100397362495
2,0.9575000000000001
4.5,1.1477697239413995
0,1.7163391157956394
0,1.7163391157956394
0,1.7163391157956394
0,1.7163391157956394
0,3.3133333333333335
0,4.008287913193245
2,4.008287913193245
0,4.008287913193245
1,4.008287913193245
2,4.008287913193245
2,4.008287913193245
0,4.008287913193245
0,4.008287913193245
0,4.008287913193245
0,4.008287913193245
1,5.77875
13,14.800920231729055
20,17.03354506604507
14.5,14.800920231729055
16,14.800920231729055
9,14.800920231729055
25,17.03354506604507
7,14.800920231729055
12,3.6100000000000003
7,11.155714285714286
19,3.88
21,3.88
10,3.88
7,11.155714285714286
28,7.012738095238094
21,10.061015479618423
16,1.8
18,14.441666666666666
24,14.441666666666666
28,7.775
28,14.7225
8.5,7.3657399190001005
18,7.3657399190001005
5.5,7.3657399190001005
6,11.213067958357433
4,7.3657399190001005
3,7.3657399190001005
2,11.213067958357433
1,7.3657399190001005
1,14.7225
23,14.85728937728938
22,15.101712348569558
23,14.85728937728938
22,14.85728937728938
15.5,15.101712348569558
12,14.85728937728938
17.5,15.101712348569558
