,stop_id,stop_name,day,total_usage,num_routes,earliest,latest,num_arrivals,arrival_diff,stop_type,lat,long
48,6028,SW Vermont & Idaho,0,0.0,1,900,900,2,0.0,Bus Station,45.4763145,-122.7306576
49,6047,SW Vermont & 50th,0,0.0,1,900,900,2,0.0,Bus Station,45.4763426,-122.7334455
50,6049,SW Vermont & 52nd,0,0.0,1,900,900,2,0.0,Bus Station,45.4763908,-122.738595
51,6050,SW Vermont & 55th,0,0.0,1,900,900,2,0.0,Bus Station,45.4764184,-122.741614
52,6051,SW Vermont & 60th,0,4.0,2,420,900,4,120.0,Bus Station,45.4764293,-122.7430488
53,6052,SW Vermont & 63rd,0,0.0,2,420,900,4,120.0,Bus Station,45.477619,-122.7420414
54,6030,SW Vermont & Shattuck,0,0.0,2,420,900,4,120.0,Bus Station,45.4794665,-122.738574
55,5222,SW Shattuck & 63rd,0,0.0,2,420,900,4,120.0,Bus Station,45.4824308,-122.7365113
56,5221,SW Shattuck & 60th,0,2.0,2,420,900,4,120.0,Bus Station,45.4836427,-122.7354254
57,13703,SW Shattuck & 59th Ct,0,1.0,2,420,900,4,120.0,Bus Station,45.48354,-122.7315332
58,863,SW Cameron & Shattuck,0,0.0,2,420,900,4,120.0,Bus Station,45.4835237,-122.7272038
59,865,SW Cameron & 53rd,0,3.0,2,420,900,4,120.0,Bus Station,45.4674662,-122.723174
60,862,SW Cameron & Fairvale Ct,0,7.0,2,420,900,4,120.0,Bus Station,45.4680654,-122.7287973
61,7544,SW 45th & Flower Pl,0,0.0,2,420,900,4,120.0,Bus Station,45.4697384,-122.7287649
62,7555,SW 45th & Pendleton,0,3.0,2,420,900,4,120.0,Bus Station,45.4728953,-122.7305751
63,7549,SW 45th & Illinois,0,2.0,2,420,960,4,135.0,Bus Station,45.47289605,-122.73268905
64,7559,SW 45th & Vermont,0,0.0,1,900,960,2,30.0,Bus Station,45.4739937,-122.73345665
65,10466,SW 45th & Vermont,0,1.0,2,420,960,4,135.0,Bus Station,45.4763426,-122.7334455
66,9328,SW 45th & Nevada,0,0.0,2,420,960,4,135.0,Bus Station,45.4762441,-122.723159
67,7540,SW 45th & Caldew,0,0.0,2,420,960,4,135.0,Bus Station,45.47628045,-122.723056975
68,4052,SW Multnomah & 45th,0,0.0,2,420,960,4,135.0,Bus Station,45.476161,-122.7154478
