usage,pred
877,325.3902638973834
661,237.74019143939685
525,325.3902638973834
376,237.74019143939685
216,325.3902638973834
124,237.74019143939685
244,325.3902638973834
185,237.74019143939685
597,609.9031410750998
435,473.2491864658912
180,609.9031410750998
109,473.2491864658912
577,609.9031410750998
400,473.2491864658912
511,609.9031410750998
361,473.2491864658912
667,518.411179024639
402,299.3944564653981
463,522.8887717458541
365,315.18547064712465
330,525.0936637146273
198,316.58646173507407
251,525.0936637146273
139,316.58646173507407
517,525.0936637146273
357,316.58646173507407
426,525.0936637146273
324,316.58646173507407
1391,525.0936637146273
1057,372.8802477981176
1190,525.0936637146273
1029,372.8802477981176
255,525.0936637146273
355,372.8802477981176
316,525.0936637146273
243,372.8802477981176
999,525.0936637146273
922,372.8802477981176
710,525.0936637146273
614,372.8802477981176
893,525.0936637146273
751,372.8802477981176
426,525.0936637146273
272,365.57631482590847
257,525.0936637146273
241,365.57631482590847
281,525.0936637146273
397,365.57631482590847
502,525.0936637146273
463,365.57631482590847
1441,675.7395771027357
1112,549.4716902508748
634,675.7395771027357
550,549.4716902508748
434,675.7395771027357
294,549.4716902508748
870,675.7395771027357
520,549.4716902508748
545,675.7395771027357
431,549.4716902508748
267,675.7395771027357
204,549.4716902508748
655,675.7395771027357
455,549.4716902508748
2532,695.2161472689091
2018,566.3117071070043
461,367.46927412991613
319,278.6730197572388
555,367.46927412991613
409,278.6730197572388
306,367.46927412991613
242,278.6730197572388
249,367.46927412991613
182,278.6730197572388
79,367.46927412991613
63,278.6730197572388
160,367.46927412991613
114,278.6730197572388
145,367.46927412991613
108,278.6730197572388
139,259.35026341262153
104,189.95978582432332
77,297.4100186810663
53,221.94979021392777
43,297.4100186810663
36,221.94979021392777
64,297.4100186810663
49,221.94979021392777
973,273.5386149226024
758,174.54068679693506
479,272.4969052060845
312,174.54068679693506
192,272.4969052060845
138,199.57015989934575
215,272.4969052060845
155,199.57015989934575
206,386.995650915328
166,289.51061036883794
441,386.995650915328
342,289.51061036883794
507,386.995650915328
363,289.51061036883794
198,386.995650915328
153,289.51061036883794
731,386.995650915328
555,289.51061036883794
639,386.995650915328
505,289.51061036883794
922,386.995650915328
677,289.51061036883794
393,386.995650915328
