usage,pred
877,325.3902638826725
661,237.74019142880297
525,325.3902638826725
376,237.74019142880297
216,325.3902638826725
124,237.74019142880297
244,325.3902638826725
185,237.74019142880297
597,609.9031410742856
435,473.24918646853934
180,609.9031410742856
109,473.24918646853934
577,609.9031410742856
400,473.24918646853934
511,609.9031410742856
361,473.24918646853934
667,518.411179026414
402,299.39445644922324
463,522.8887717481149
365,315.1854706337765
330,525.093663717128
198,316.5864617218131
251,525.093663717128
139,316.5864617218131
517,525.093663717128
357,316.5864617218131
426,525.093663717128
324,316.5864617218131
1391,525.093663717128
1057,372.8802477954989
1190,525.093663717128
1029,372.8802477954989
255,525.093663717128
355,372.8802477954989
316,525.093663717128
243,372.8802477954989
999,525.093663717128
922,372.8802477954989
710,525.093663717128
614,372.8802477954989
893,525.093663717128
751,372.8802477954989
426,525.093663717128
272,365.5763148214325
257,525.093663717128
241,365.5763148214325
281,525.093663717128
397,365.5763148214325
502,525.093663717128
463,365.5763148214325
1441,675.7395771164101
1112,549.4716902625187
634,675.7395771164101
550,549.4716902625187
434,675.7395771164101
294,549.4716902625187
870,675.7395771164101
520,549.4716902625187
545,675.7395771164101
431,549.4716902625187
267,675.7395771164101
204,549.4716902625187
655,675.7395771164101
455,549.4716902625187
2532,695.2161472850407
2018,566.3117071207901
461,367.46927412196266
319,278.6730197494437
555,367.46927412196266
409,278.6730197494437
306,367.46927412196266
242,278.6730197494437
249,367.46927412196266
182,278.6730197494437
79,367.46927412196266
63,278.6730197494437
160,367.46927412196266
114,278.6730197494437
145,367.46927412196266
108,278.6730197494437
139,259.35026340038905
104,189.9597858134717
77,297.4100186712916
53,221.9497902048562
43,297.4100186712916
36,221.9497902048562
64,297.4100186712916
49,221.9497902048562
973,273.5386149077707
758,174.54068677956673
479,272.4969051946388
312,174.54068677956673
192,272.4969051946388
138,199.5701598858266
215,272.4969051946388
155,199.5701598858266
206,386.99565090483827
166,289.51061035600753
441,386.99565090483827
342,289.51061035600753
507,386.99565090483827
363,289.51061035600753
198,386.99565090483827
153,289.51061035600753
731,386.99565090483827
555,289.51061035600753
639,386.99565090483827
505,289.51061035600753
922,386.99565090483827
677,289.51061035600753
393,386.99565090483827
302,289.51061035600753
1312,630.5260606572971
970,496.3036479661386
662,675.7395771164101
450,549.4716902625187
460,675.7395771164101
337,549.4716902625187
573,675.7395771164101
489,549.4716902625187
714,675.7395771164101
541,549.4716902625187
377,675.7395771164101
273,549.4716902625187
621,675.7395771164101
623,549.4716902625187
883,675.7395771164101
825,549.4716902625187
264,498.5993692720396
216,395.67932870378854
250,498.5993692720396
398,395.67932870378854
247,498.5993692720396
189,395.67932870378854
494,525.093663717128
274,416.7047155906965
2028,525.093663717128
1418,416.7047155906965
857,525.093663717128
719,416.7047155906965
773,525.093663717128
707,416.7047155906965
504,525.093663717128
295,416.7047155906965
178,525.093663717128
238,416.7047155906965
351,525.093663717128
209,416.7047155906965
781,525.093663717128
501,416.7047155906965
369,525.093663717128
275,416.7047155906965
215,525.093663717128
116,416.7047155906965
82,525.093663717128
52,416.7047155906965
132,525.093663717128
66,416.7047155906965
246,561.2746681204567
162,453.08796826635387
309,522.162538801956
199,426.6971776132652
195,522.162538801956
147,426.6971776132652
214,522.162538801956
160,426.6971776132652
87,522.162538801956
57,426.6971776132652
660,293.38266433724067
554,225.7446960184076
74,293.38266433724067
51,225.7446960184076
43,293.38266433724067
23,225.7446960184076
36,293.38266433724067
26,225.7446960184076
496,509.1754470611817
378,405.30155046438233
799,572.4476680409496
316,457.1902783554375
503,572.4476680409496
236,457.1902783554375
984,572.4476680409496
761,457.1902783554375
494,683.0674373131915
351,520.646889430638
427,683.0674373131915
318,520.646889430638
758,538.701181231815
649,429.29287682677364
247,263.784643903366
182,177.2176630577622
195,263.784643903366
169,177.2176630577622
132,263.784643903366
110,177.2176630577622
79,263.784643903366
62,177.2176630577622
168,263.784643903366
125,177.2176630577622
83,263.784643903366
65,177.2176630577622
46,263.784643903366
42,177.2176630577622
2069,277.80148479081487
1392,186.63455612920336
251,277.80148479081487
210,186.63455612920336
244,277.80148479081487
149,186.63455612920336
366,277.80148479081487
239,186.63455612920336
200,277.80148479081487
123,186.63455612920336
186,277.80148479081487
131,186.63455612920336
270,277.80148479081487
189,186.63455612920336
214,277.80148479081487
137,186.63455612920336
483,605.5214285989857
395,459.6919154464385
318,722.3119530001552
242,491.8535981117806
360,722.3119530001552
280,491.8535981117806
971,605.5214285989857
637,459.6919154464385
309,605.5214285989857
156,459.6919154464385
292,572.4476680409496
127,434.1221389183061
283,257.8337769068241
175,206.33829331172925
1069,272.58525450635267
743,208.76339446247388
322,268.40609684640077
198,208.76339446247388
310,268.40609684640077
160,208.76339446247388
152,268.40609684640077
115,208.76339446247388
171,268.40609684640077
127,208.76339446247388
102,268.40609684640077
52,208.76339446247388
161,268.40609684640077
118,208.76339446247388
115,268.40609684640077
110,208.76339446247388
237,268.40609684640077
81,208.76339446247388
112,268.40609684640077
93,208.76339446247388
107,258.8316054084818
54,206.33829331172925
215,258.8316054084818
70,206.33829331172925
98,258.8316054084818
73,206.33829331172925
76,258.8316054084818
64,206.33829331172925
50,258.8316054084818
23,206.33829331172925
84,258.8316054084818
52,206.33829331172925
32,258.8316054084818
27,206.33829331172925
43,258.8316054084818
44,206.33829331172925
44,258.8316054084818
41,206.33829331172925
161,258.8316054084818
129,204.6905187341106
55,258.8316054084818
39,204.6905187341106
49,258.8316054084818
38,204.6905187341106
1758,254.8633126688784
1525,198.2299616210054
179,254.8633126688784
163,198.2299616210054
356,254.8633126688784
336,198.2299616210054
442,254.8633126688784
323,198.2299616210054
109,254.8633126688784
94,198.2299616210054
856,276.77549274607134
692,211.56595312813178
112,276.77549274607134
94,211.56595312813178
107,276.77549274607134
71,211.56595312813178
173,276.77549274607134
140,211.56595312813178
253,276.77549274607134
203,206.31841451207399
139,276.77549274607134
103,206.31841451207399
241,276.77549274607134
217,206.31841451207399
99,276.77549274607134
73,206.31841451207399
55,276.77549274607134
67,206.31841451207399
681,306.97127529449926
617,217.28164703983967
631,306.97127529449926
569,217.28164703983967
366,306.97127529449926
271,217.28164703983967
800,306.97127529449926
579,217.28164703983967
308,306.97127529449926
231,217.28164703983967
459,306.97127529449926
333,217.28164703983967
265,306.97127529449926
211,217.28164703983967
206,306.97127529449926
127,217.28164703983967
138,306.97127529449926
106,217.28164703983967
223,306.97127529449926
212,217.28164703983967
211,0.7011500241551076
34,5.825884064282813
29,0.7011500241551076
74,5.825884064282813
81,0.6735460493841446
81,0.6735460493841446
52,35.581733635770995
36,24.305133616705103
398,356.7413013377401
250,240.47732255097802
411,186.46419960554312
220,77.45509419290316
217,86.99282560302535
115,52.00917183276409
168,86.99282560302535
91,52.00917183276409
552,129.07566358063997
267,84.34955450163307
26,112.58670049366374
19,70.30203344020961
13,66.77651790230482
6,40.25177609952768
21,66.77651790230482
19,40.25177609952768
16,66.77651790230482
4,40.25177609952768
10,66.77651790230482
5,40.25177609952768
74,205.10995976588413
42,74.38368131529563
35,205.10995976588413
23,74.38368131529563
2,56.63824636139435
1,22.75896691654466
3,56.63824636139435
1,22.75896691654466
16,73.76882592509644
6,22.75896691654466
51,114.12311149642014
37,45.11334417819369
3,19.18265935869089
2,8.435592353263534
41,16.89354125412845
13,21.871900897198937
4,5.597798876404703
1,2.9225384158455983
1,0.060805244216808774
1,0.060805244216808774
4,0.060805244216808774
2,0.060805244216808774
1,0.060805244216808774
3,0.060805244216808774
7,0.060805244216808774
3,0.060805244216808774
2,0.030612715234781287
1,0.030612715234781287
1,0.030612715234781287
2,0.030612715234781287
1,0.030612715234781287
2,12.250996488604013
4,12.250996488604013
1,12.250996488604013
8,2.821245437356206
2,2.821245437356206
2,2.821245437356206
9,3.271089421462636
3,3.271089421462636
11,22.368413026006248
8,5.377415943175253
41,22.368413026006248
15,5.377415943175253
1,12.753079751210619
1,12.753079751210619
1,12.919506176843898
11,23.657468488415148
6,7.91155959735914
35,53.73596564425675
24,21.104309171435677
19,53.73596564425675
11,21.104309171435677
2,53.73596564425675
1,21.104309171435677
28,204.6574331149594
22,73.61851704935636
64,204.6574331149594
38,73.61851704935636
19,66.20501628070531
11,38.79346606611356
17,66.20501628070531
8,38.79346606611356
24,66.20501628070531
10,38.79346606611356
227,99.16755879562152
72,64.04681971290083
110,71.08845532812764
51,45.11334417819369
194,176.4932320045564
106,118.05270446914517
115,146.2292912841017
81,118.05270446914517
169,39.364210690470514
141,30.91352751623838
395,313.4703256579615
270,256.3190170412946
214,65.10140326274461
149,51.78500861459287
237,65.10140326274461
175,51.78500861459287
405,133.10664997245243
201,107.80212207022522
175,193.07989312424073
96,156.48395341746917
447,193.07989312424073
148,156.48395341746917
178,193.07989312424073
143,156.48395341746917
125,54.58096145593791
80,41.006008334451565
165,54.58096145593791
111,41.006008334451565
88,39.364210690470514
54,30.91352751623838
44,39.364210690470514
35,30.91352751623838
47,39.364210690470514
43,30.91352751623838
150,39.364210690470514
103,30.91352751623838
52,39.364210690470514
24,30.91352751623838
162,39.364210690470514
93,30.91352751623838
82,39.364210690470514
32,30.91352751623838
36,39.364210690470514
26,30.91352751623838
25,39.364210690470514
14,30.91352751623838
343,39.364210690470514
221,30.91352751623838
43,39.364210690470514
27,30.91352751623838
296,358.87462603262816
220,286.7699673892738
67,39.364210690470514
39,30.91352751623838
74,39.364210690470514
51,30.91352751623838
38,39.364210690470514
29,30.91352751623838
259,39.364210690470514
180,30.91352751623838
68,39.364210690470514
44,30.91352751623838
48,39.364210690470514
40,30.91352751623838
37,39.364210690470514
25,30.91352751623838
159,39.364210690470514
123,30.91352751623838
41,39.364210690470514
34,30.91352751623838
93,39.364210690470514
62,30.91352751623838
30,39.364210690470514
22,30.91352751623838
65,39.364210690470514
46,30.91352751623838
76,39.364210690470514
46,30.91352751623838
15,39.364210690470514
13,30.91352751623838
11,39.364210690470514
9,30.91352751623838
13,39.364210690470514
11,30.91352751623838
18,39.364210690470514
13,30.91352751623838
23,39.364210690470514
17,30.91352751623838
125,47.7102139722778
97,28.515209864383987
240,39.364210690470514
133,28.515209864383987
81,39.364210690470514
63,28.515209864383987
30,39.364210690470514
17,28.515209864383987
39,39.364210690470514
25,28.515209864383987
218,39.364210690470514
123,28.515209864383987
138,39.364210690470514
98,28.515209864383987
63,39.364210690470514
51,28.515209864383987
258,39.364210690470514
158,28.515209864383987
98,39.364210690470514
65,28.515209864383987
179,39.364210690470514
146,28.515209864383987
110,39.364210690470514
77,28.515209864383987
116,39.364210690470514
78,28.515209864383987
115,39.364210690470514
69,28.515209864383987
295,39.364210690470514
205,28.515209864383987
97,39.364210690470514
62,28.515209864383987
94,39.364210690470514
75,28.515209864383987
76,39.364210690470514
44,28.515209864383987
142,358.87462603262816
91,286.7699673892738
71,39.364210690470514
36,30.91352751623838
235,39.364210690470514
113,30.91352751623838
82,39.364210690470514
45,30.91352751623838
59,39.364210690470514
